doc_id,title,date,address,Categories,content
767,Kingdom Imposes Import Ban on Poultry Products from Five Countries,4-Jan-17,https://saudiembassy.net/news/kingdom-imposes-import-ban-poultry-products-five-countries,News,"The Saudi Food and Drug Authority (SFDA) has imposed a temporarily ban on the importation of poultry meat, eggs, byproducts and equipment from provinces and districts in five countries due to an outbreak of an extremely virulent strain of Avian Influenza.?Ç?? SFDA said in a statement today that the ban affects products from Bacs-Kiskun County in Hungary, Kherson Province in Ukraine, Lubuskie Province in Poland, Friesland County in the Netherlands, and the provinces of Tarn-et-Garonne and Aveyron in France."
768,World's largest date festival opens in Buraidah,6-Aug-15,https://saudiembassy.net/news/worlds-largest-date-festival-opens-buraidah,News,"The festival's executive manager Abdulaziz Al-Mahoos told the daily that the festival is also research opportunity. ???Ä?úThe festival gathers date enthusiasts from all over the country at one place. We will conduct surveys and collect statistics on the sales and revenues throughout the festival.???Ä?The world's largest date festival opened in Buraidah on yesterday and will run for forty days, Saudi Gazette report today. The head of Qassim Municipality and the supervisor of the festival, Saleh Al-Ahmad, called the festival a great boost for the province's economy and a major tourist attraction."
769,Royal Court: King's Efforts on Al-Aqsa are Culminated With Success,27-Jul-17,https://saudiembassy.net/news/royal-court-kings-efforts-al-aqsa-are-culminated-success,News,"The Kingdom of Saudi Arabia affirms the right of Muslims in Al-Aqsa Holy Mosque and the performance of their worship in it with ease and tranquility. The Custodian of the Two Holy Mosques King Salman stressed the need for the return of calm at Al-Aqsa Mosque and its surroundings, the respect for the sanctity of the place, and that Muslims must return to enter the mosque and perform worship in it with all security, tranquility and peace effective from today. The Kingdom of Saudi Arabia emphasizes the importance of achieving a just and comprehensive peace for the Palestinian cause in accordance with the Arab peace initiative, the vision of a two-state solution and the relevant resolutions of the international legitimacy. In reference to the events that took place at Al-Aqsa Holy Mosque during the last period, the Custodian of the Two Holy Mosques King Salman bin Abdulaziz has held necessary contacts with a number of leaders of the world over the past few days.?Ç?? The Government of the Kingdom of Saudi Arabia has also contacted the Administration of the United States of America to exert its efforts for not closing Al-Aqsa Mosque in front of Muslims, not preventing them from performing their duties and prayers in it, and canceling restrictions being imposed on the entry to the Mosque. These efforts have been culminated with success today and in a way that contributes to restore stability and tranquility to worshipers and preserve their dignity and security. The Royal Court issued today the following statement:"
770,"Kingdom, UAE, Bahrain, Egypt Add 9 Entities, 9 Individuals to Lists of Terrorist Groups",25-Jul-17,https://saudiembassy.net/news/kingdom-uae-bahrain-egypt-add-9-entities-9-individuals-lists-terrorist-groups,News,"The four countries also affirm the continuation of their current measures, and possible future measures that might be taken, until the Qatari authorities are committed to fulfilling all the just demands, which ensure countering terrorism and maintaining security and stability in the region. The next long awaited practical step is taking an urgent action by the Qatari authorities to make legal and practical actions to prosecute terrorist and extremist individuals and entities, especially those on this current list and the previous one, which was announced on the 8th of June 2017 so as to confirm the credibility of its seriousness in renouncing terrorism and extremism, and its engagement in the international community fighting terrorism. To that end, the four states, along with their international partners, will monitor the Qatari authorities' commitment in not harboring terrorist, supporting and financing terrorism, ending promoting of extremist and hate speech, and financing of extremists inside and outside Qatar. Qatar's 2004 law neither led to combating extremism, terrorism, hate speech, nor did it end its financing and harboring of extremist individuals and groups. To the contrary, these individuals and groups have expanded their presence and activity in and through Doha. The Qatari authorities have a long history in breaking all signed and binding agreements and legal obligations, the latest of which was the 2013 Riyadh Agreement and the 2014 Supplemental Agreement. Moreover, it continued harboring terrorists, financing attacks and promoting hate speech and extremism While noting that the Qatari authorities had previously signed a memorandum of understanding with the United States to stop terror financing and then announced that it was amending its terror combating laws, the four states consider this step, even if it is a submission to the tough demands to combat terrorism and one of many awaited steps to achieve the Qatari authorities' return to the right track, not enough. The two Libyan individuals and the six terrorist entities, affiliated with terrorist groups in Libya, have received substantial financial support from the Qatari authorities and played an active role in spreading chaos and devastation in Libya, despite serious international concern over the destructive impact of such practices. The terrorist activities of the aforementioned entities and individuals have direct and indirect ties with the Qatari authorities. The three Qatari individuals on the list, along with a Kuwaiti individual, have engaged in fund-raising campaigns to support Al-Nusra Front and other terrorist militias in Syria. The three Yemeni individuals and the three organizations in Yemen, have provided support to Al-Qaeda, and have conducted actions on its behalf, mainly by using significant funding from Qatari charities, which are designated by the four states as terrorist entities. Individuals: The Kingdom of Saudi Arabia, the United Arab Emirates, the Kingdom of Bahrain and the Arab Republic of Egypt declare that in their firm and solid commitment to fight terrorism, cut off sources of funding, prosecute those who are involved in it, combat extremist ideologies and hate speech incubators; and in continuous assessment, the four countries have announced the designation of 9 entities and 9 individuals on the lists of terrorist groups:Entities:"
771,KSrelief Provides Yemen $615 million in Assistance,23-Jul-17,https://saudiembassy.net/news/ksrelief-provides-yemen-615-million-assistance,News,"Since its launch, the King Salman Center for Relief and Humanitarian Aid (KSrelief) has implemented 139 projects at a cost of $615,839,175 across Yemen in a number of areas, including emergency relief food and medical supplies; project to prevent disease outbreaks and reduce child mortality; promote agricultural development and improve water supplies.?Ç?? KSrelief also provided support?Ç??for Yemeni refugees in Djibouti and Somalia. The projects were implemented with support with national and international agencies."
772,Crown Prince Meets Russian President Envoy,20-Jul-17,https://saudiembassy.net/news/crown-prince-meets-russian-president-envoy,News,"Crown Prince Mohammed bin Salman bin Abdulaziz, Deputy Prime Minister and Minister of Defense, met in his office in Jeddah on Wednesday evening with Russian President's special envoy on Syria Alexander Lavrentiev. During the meeting, they discussed bilateral relations and developments in the region."
773,Kingdom Expresses Support for Kuwait???Ä?ôs Against Iranian Diplomatic Mission,20-Jul-17,https://saudiembassy.net/news/kingdom-expresses-support-kuwait%E2%80%99s-against-iranian-diplomatic-mission,News,"The Ministry of Foreign Affairs expressed the Kingdom's support of all the measures taken by Kuwait against Iran's diplomatic mission in Kuwait.?Ç?? This comes as a court verdict was issued condemning members of Al -Abdali terrorist cell, who were found to have received aid and support from Iran."
774,KSrelief Continues Repatriating Stranded Somalis in Yemen to Somalia,19-Jul-17,https://saudiembassy.net/news/ksrelief-continues-repatriating-stranded-somalis-yemen-somalia,News,The King Salman Center for Relief and Humanitarian Aid (KSrelief) continues its repatriation of stranded Somalis in Yemen to their homeland.?Ç?? KSrelief facilitated the return to Somalia a total of 314 Somalis stranded in Yemen under a direct supervision of the International Organization for Migration and the Somali Consulate in Yemen.
775,Crown Prince Discusses Terrorism With Iraqi Minister of Interior,19-Jul-17,https://saudiembassy.net/news/crown-prince-discusses-terrorism-iraqi-minister-interior,News,"During the meeting, they discussed a number of issues of mutual concern, as well as counter-terrorism efforts.?Ç?? The meeting was attended by a number of ministers and officials. Crown Prince Mohammed bin Salman bin Abdulaziz, Deputy Prime Minister and Minister of Defense, met in Jeddah on Tuesday with Iraqi Interior Minister Qassem Mohammad Al-Araji."
776,King Salman Receives Sudanese President,18-Jul-17,https://saudiembassy.net/news/king-salman-receives-sudanese-president,News,"President Al-Bashir arrived in Jeddah earlier in the day to perform Umrah. The Custodian of the Two Holy Mosques King Salman bin Abdulaziz received at Al-Salam Palace in Jeddah today Sudanese President Omar Hassan Al-Bashir.?Ç?? During the meeting, they reviewed bilateral relations between the two countries and the latest developments in the region.?Ç?? Later, Crown Prince Mohammed bin Salman, Deputy Prime Minister and Minister of Defense, met with President Al-Bashir in Jeddah."
