Iteration,Topic,alpha
1,1_Economic Cooperation,0.31264643416776816
1,2_Belt and Road Initiative (BRI),0.6348343213285523
1,3_Diplomatic Relations,0.30235397089459953
1,4_Technology and Innovation,1.1449315384153476
1,5_Cultural Exchange,0.21031283111351468
1,6_Geopolitical Strategy,0.19840606726114404
1,7_Trade Agreements,0.3983011146072367
1,8_Infrastructure Development,0.11997863031030773
10,1_Economic Cooperation,0.1347918287519768
10,2_Belt and Road Initiative (BRI),0.16247783828889745
10,3_Diplomatic Relations,0.1921365719745474
10,4_Technology and Innovation,0.17126170334709445
10,5_Cultural Exchange,0.21280321692194476
10,6_Geopolitical Strategy,0.1663648223901754
10,7_Trade Agreements,0.13760513879493685
10,8_Infrastructure Development,0.16731846218659727
20,1_Economic Cooperation,0.1391245248220754
20,2_Belt and Road Initiative (BRI),0.1460960237966401
20,3_Diplomatic Relations,0.20638614213145218
20,4_Technology and Innovation,0.13312705267671168
20,5_Cultural Exchange,0.1771140904076586
20,6_Geopolitical Strategy,0.13745528489004472
20,7_Trade Agreements,0.11971401005353163
20,8_Infrastructure Development,0.14658268638704466
30,1_Economic Cooperation,0.12045035382618333
30,2_Belt and Road Initiative (BRI),0.13709756722036376
30,3_Diplomatic Relations,0.23051803373132707
30,4_Technology and Innovation,0.12667329171902722
30,5_Cultural Exchange,0.1786404399723842
30,6_Geopolitical Strategy,0.1422855926730645
30,7_Trade Agreements,0.10450326316002793
30,8_Infrastructure Development,0.13990786094668858
40,1_Economic Cooperation,0.11614534626814475
40,2_Belt and Road Initiative (BRI),0.14001857801871376
40,3_Diplomatic Relations,0.2212188672479245
40,4_Technology and Innovation,0.12491911308640273
40,5_Cultural Exchange,0.17697780876241964
40,6_Geopolitical Strategy,0.1373174811211131
40,7_Trade Agreements,0.10125378293686552
40,8_Infrastructure Development,0.1369973820736169
50,1_Economic Cooperation,0.11518098536693253
50,2_Belt and Road Initiative (BRI),0.1436371043782298
50,3_Diplomatic Relations,0.24258813035448257
50,4_Technology and Innovation,0.11579688276020444
50,5_Cultural Exchange,0.1727551372970919
50,6_Geopolitical Strategy,0.13352186777928088
50,7_Trade Agreements,0.09803171901578348
50,8_Infrastructure Development,0.11616491175827898
60,1_Economic Cooperation,0.10989353103249508
60,2_Belt and Road Initiative (BRI),0.13136140652685044
60,3_Diplomatic Relations,0.2412715188941593
60,4_Technology and Innovation,0.12617488478276695
60,5_Cultural Exchange,0.17791775106513832
60,6_Geopolitical Strategy,0.12410814782814152
60,7_Trade Agreements,0.09678955347135665
60,8_Infrastructure Development,0.11625356477220773
70,1_Economic Cooperation,0.108461420092545
70,2_Belt and Road Initiative (BRI),0.1206398928459832
70,3_Diplomatic Relations,0.2442874075131504
70,4_Technology and Innovation,0.10323089388656788
70,5_Cultural Exchange,0.16927130507862928
70,6_Geopolitical Strategy,0.1299813846371764
70,7_Trade Agreements,0.09977351184009252
70,8_Infrastructure Development,0.11679170242053713
80,1_Economic Cooperation,0.09585140739102131
80,2_Belt and Road Initiative (BRI),0.1333430434938928
80,3_Diplomatic Relations,0.25956994577739506
80,4_Technology and Innovation,0.1079055915356716
80,5_Cultural Exchange,0.17396502185434384
80,6_Geopolitical Strategy,0.132206381762341
80,7_Trade Agreements,0.09689069420116961
80,8_Infrastructure Development,0.11378915544864636
90,1_Economic Cooperation,0.101246145974805
90,2_Belt and Road Initiative (BRI),0.12208204697163605
90,3_Diplomatic Relations,0.25791256843081045
90,4_Technology and Innovation,0.11352469246297306
90,5_Cultural Exchange,0.16167022847777565
90,6_Geopolitical Strategy,0.13030815092439257
90,7_Trade Agreements,0.09041442218124683
90,8_Infrastructure Development,0.10266035266522809
100,1_Economic Cooperation,0.08854638236177653
100,2_Belt and Road Initiative (BRI),0.11860225305333506
100,3_Diplomatic Relations,0.23012148697427978
100,4_Technology and Innovation,0.10656468380845918
100,5_Cultural Exchange,0.15677220443115092
100,6_Geopolitical Strategy,0.12802492575580812
100,7_Trade Agreements,0.07855524554330506
100,8_Infrastructure Development,0.10014879094579775
110,1_Economic Cooperation,0.08252163690006345
110,2_Belt and Road Initiative (BRI),0.10898805884478222
110,3_Diplomatic Relations,0.23893433305953302
110,4_Technology and Innovation,0.09480069749245819
110,5_Cultural Exchange,0.1583728147490236
110,6_Geopolitical Strategy,0.12497058207973748
110,7_Trade Agreements,0.08471942296218057
110,8_Infrastructure Development,0.11310975736963055
120,1_Economic Cooperation,0.08820755472587606
120,2_Belt and Road Initiative (BRI),0.11104187671458643
120,3_Diplomatic Relations,0.2673272920587259
120,4_Technology and Innovation,0.08705959334299188
120,5_Cultural Exchange,0.1703000554691485
120,6_Geopolitical Strategy,0.12287357981808399
120,7_Trade Agreements,0.08024251451879875
120,8_Infrastructure Development,0.10519229538713583
130,1_Economic Cooperation,0.08210223871372842
130,2_Belt and Road Initiative (BRI),0.10655071690132017
130,3_Diplomatic Relations,0.24577847351575358
130,4_Technology and Innovation,0.09150280358909259
130,5_Cultural Exchange,0.1584068080915987
130,6_Geopolitical Strategy,0.1225393705824234
130,7_Trade Agreements,0.07535625977013878
130,8_Infrastructure Development,0.10152377231374704
140,1_Economic Cooperation,0.0718042421837989
140,2_Belt and Road Initiative (BRI),0.10837430097549228
140,3_Diplomatic Relations,0.23017251414307402
140,4_Technology and Innovation,0.09231070649756301
140,5_Cultural Exchange,0.14866748681893266
140,6_Geopolitical Strategy,0.1136849784059973
140,7_Trade Agreements,0.07467842548689951
140,8_Infrastructure Development,0.10782326522314785
150,1_Economic Cooperation,0.07322888467145193
150,2_Belt and Road Initiative (BRI),0.10863186964418944
150,3_Diplomatic Relations,0.2558211944927972
150,4_Technology and Innovation,0.08959842238046321
150,5_Cultural Exchange,0.14346203881129183
150,6_Geopolitical Strategy,0.1219438717763196
150,7_Trade Agreements,0.0723117142702557
150,8_Infrastructure Development,0.11473912288389185
160,1_Economic Cooperation,0.06344731535170443
160,2_Belt and Road Initiative (BRI),0.10346929787214483
160,3_Diplomatic Relations,0.24234697834499971
160,4_Technology and Innovation,0.0847535864921663
160,5_Cultural Exchange,0.1476993724132267
160,6_Geopolitical Strategy,0.11496156068228404
160,7_Trade Agreements,0.07740791059841858
160,8_Infrastructure Development,0.10717124420517686
170,1_Economic Cooperation,0.06642107007437742
170,2_Belt and Road Initiative (BRI),0.10202232457740205
170,3_Diplomatic Relations,0.23536831708314057
170,4_Technology and Innovation,0.08797485934218736
170,5_Cultural Exchange,0.1505360075054471
170,6_Geopolitical Strategy,0.12536885206888268
170,7_Trade Agreements,0.0725638280304803
170,8_Infrastructure Development,0.10513871471854246
180,1_Economic Cooperation,0.07185635706259412
180,2_Belt and Road Initiative (BRI),0.10616348320677647
180,3_Diplomatic Relations,0.2323575073454056
180,4_Technology and Innovation,0.07502833105331447
180,5_Cultural Exchange,0.15765426560973705
180,6_Geopolitical Strategy,0.11467816063214509
180,7_Trade Agreements,0.06684050109022154
180,8_Infrastructure Development,0.11038156346334672
190,1_Economic Cooperation,0.06328489926188449
190,2_Belt and Road Initiative (BRI),0.10076476796966242
190,3_Diplomatic Relations,0.24359278122550762
190,4_Technology and Innovation,0.08618256821640662
190,5_Cultural Exchange,0.14583126679384412
190,6_Geopolitical Strategy,0.11839082236137817
190,7_Trade Agreements,0.06405317930665708
190,8_Infrastructure Development,0.0986754369741222
200,1_Economic Cooperation,0.056170345707743055
200,2_Belt and Road Initiative (BRI),0.09676697465943516
200,3_Diplomatic Relations,0.23479499649781196
200,4_Technology and Innovation,0.08155985168979805
200,5_Cultural Exchange,0.14304436746431784
200,6_Geopolitical Strategy,0.11706697671403506
200,7_Trade Agreements,0.06696000580710157
200,8_Infrastructure Development,0.10980774508101346
210,1_Economic Cooperation,0.06013935216734861
210,2_Belt and Road Initiative (BRI),0.09716055290477013
210,3_Diplomatic Relations,0.23867539896446896
210,4_Technology and Innovation,0.07600000985543393
210,5_Cultural Exchange,0.12064228670176541
210,6_Geopolitical Strategy,0.10991835486866117
210,7_Trade Agreements,0.06818539994222843
210,8_Infrastructure Development,0.10035290998162245
220,1_Economic Cooperation,0.05617472709050309
220,2_Belt and Road Initiative (BRI),0.09373454640837284
220,3_Diplomatic Relations,0.2374563381186602
220,4_Technology and Innovation,0.08076442456588304
220,5_Cultural Exchange,0.12768998579815324
220,6_Geopolitical Strategy,0.11832423867206089
220,7_Trade Agreements,0.06737462911434086
220,8_Infrastructure Development,0.09900195981742667
230,1_Economic Cooperation,0.05585926181736985
230,2_Belt and Road Initiative (BRI),0.09494956984384767
230,3_Diplomatic Relations,0.22961661480752235
230,4_Technology and Innovation,0.06761739437754351
230,5_Cultural Exchange,0.13923901015075404
230,6_Geopolitical Strategy,0.12177401877527963
230,7_Trade Agreements,0.06305426024834214
230,8_Infrastructure Development,0.10284380122563884
240,1_Economic Cooperation,0.053821084286584504
240,2_Belt and Road Initiative (BRI),0.09444690796372607
240,3_Diplomatic Relations,0.2494463126166287
