Iteration,Measures,value
1,Log Likelihood,-10364337.722752346
10,Log Likelihood,-8817925.59567909
20,Log Likelihood,-8582408.545607792
30,Log Likelihood,-8487912.397008896
40,Log Likelihood,-8438032.386380661
50,Log Likelihood,-8390301.191686513
60,Log Likelihood,-8362840.403835838
70,Log Likelihood,-8336750.113419348
80,Log Likelihood,-8319337.331159419
90,Log Likelihood,-8303765.094907576
100,Log Likelihood,-8286409.104733874
110,Log Likelihood,-8268025.240904018
120,Log Likelihood,-8252367.633027833
130,Log Likelihood,-8246706.918012755
140,Log Likelihood,-8236851.570127035
150,Log Likelihood,-8228650.437437306
160,Log Likelihood,-8215716.541899307
170,Log Likelihood,-8205581.791928778
180,Log Likelihood,-8202227.635301019
190,Log Likelihood,-8196852.206949501
200,Log Likelihood,-8183178.509361852
210,Log Likelihood,-8173848.47114885
220,Log Likelihood,-8168164.178838639
230,Log Likelihood,-8155998.565269613
240,Log Likelihood,-8155831.797572253
250,Log Likelihood,-8150065.645940835
260,Log Likelihood,-8146091.501347874
270,Log Likelihood,-8145505.153061459
280,Log Likelihood,-8135193.455170214
290,Log Likelihood,-8132846.43252635
300,Log Likelihood,-8125918.514887971
310,Log Likelihood,-8116745.12277219
320,Log Likelihood,-8112012.350892617
330,Log Likelihood,-8111678.1147426255
340,Log Likelihood,-8101970.145722058
350,Log Likelihood,-8097700.288055714
360,Log Likelihood,-8093847.960628983
370,Log Likelihood,-8093839.63588926
380,Log Likelihood,-8086525.9184056865
390,Log Likelihood,-8083996.435291124
400,Log Likelihood,-8084827.308785741
410,Log Likelihood,-8079029.003154483
420,Log Likelihood,-8076794.86745996
430,Log Likelihood,-8074276.377556866
440,Log Likelihood,-8070153.983679143
450,Log Likelihood,-8067456.477760532
460,Log Likelihood,-8060846.3354290575
470,Log Likelihood,-8059321.9391123615
480,Log Likelihood,-8057859.718415797
490,Log Likelihood,-8053289.648218584
500,Log Likelihood,-8052585.694278518
510,Log Likelihood,-8052700.381584453
520,Log Likelihood,-8046235.940937161
530,Log Likelihood,-8044957.137524454
540,Log Likelihood,-8042694.304565919
550,Log Likelihood,-8045582.29976729
560,Log Likelihood,-8040684.597495704
570,Log Likelihood,-8042263.179349299
580,Log Likelihood,-8032476.125791645
590,Log Likelihood,-8032298.329686088
600,Log Likelihood,-8032089.07419586
610,Log Likelihood,-8026405.433528413
620,Log Likelihood,-8029411.0938136205
630,Log Likelihood,-8027011.9875478875
640,Log Likelihood,-8027800.934780149
650,Log Likelihood,-8025308.764940477
660,Log Likelihood,-8018411.070151697
670,Log Likelihood,-8018832.051550762
680,Log Likelihood,-8018188.528854819
