Iteration,Log Likelihood,Perplexity
1,-10364337.722752346,9168.872562353654
10,-8817925.59567909,2350.272181276587
20,-8582408.545607792,1910.2021023025384
30,-8487912.397008896,1757.7340711533247
40,-8438032.386380661,1682.2242930554921
50,-8390301.191686513,1613.0065397155442
60,-8362840.403835838,1574.4823280586168
70,-8336750.113419348,1538.7334607100208
80,-8319337.331159419,1515.3272788804236
90,-8303765.094907576,1494.696890480694
100,-8286409.104733874,1472.0341533137575
110,-8268025.240904018,1448.4038904950394
120,-8252367.633027833,1428.5772654855548
130,-8246706.918012755,1421.4763122098525
140,-8236851.570127035,1409.1976142054573
150,-8228650.437437306,1399.0607820267326
160,-8215716.541899307,1383.2220949452155
170,-8205581.791928778,1370.9366084575688
180,-8202227.635301019,1366.894732769399
190,-8196852.206949501,1360.441991293891
200,-8183178.509361852,1344.164850960609
210,-8173848.47114885,1333.170313546459
220,-8168164.178838639,1326.516062772237
230,-8155998.565269613,1312.3859260105064
240,-8155831.797572253,1312.1932778559988
250,-8150065.645940835,1305.5496490527707
260,-8146091.501347874,1300.9903209293313
270,-8145505.153061459,1300.3189834661605
280,-8135193.455170214,1288.5690958523328
290,-8132846.43252635,1285.909597869165
300,-8125918.514887971,1278.0912897973915
310,-8116745.12277219,1267.8120087643877
320,-8112012.350892617,1262.5410538091187
330,-8111678.1147426255,1262.1696398050508
340,-8101970.145722058,1251.4293753647894
350,-8097700.288055714,1246.7344678283284
360,-8093847.960628983,1242.513770367679
370,-8093839.63588926,1242.504665083244
380,-8086525.9184056865,1234.5309233553792
390,-8083996.435291124,1231.785093854127
400,-8084827.308785741,1232.6863576286962
410,-8079029.003154483,1226.4105583645578
420,-8076794.86745996,1224.0009765677637
430,-8074276.377556866,1221.290386215637
440,-8070153.983679143,1216.866500556694
450,-8067456.477760532,1213.9803894544575
460,-8060846.3354290575,1206.9369823584627
470,-8059321.9391123615,1205.318476180226
480,-8057859.718415797,1203.7680235618436
490,-8053289.648218584,1198.9350365844411
500,-8052585.694278518,1198.1923106739598
510,-8052700.381584453,1198.3132832798394
520,-8046235.940937161,1191.5135878772226
530,-8044957.137524454,1190.1730422584787
540,-8042694.304565919,1187.8046514513135
550,-8045582.29976729,1190.8281995664013
560,-8040684.597495704,1185.705146447194
570,-8042263.179349299,1187.353949671115
580,-8032476.125791645,1177.168365691656
590,-8032298.329686088,1176.984140051229
600,-8032089.07419586,1176.767354313314
610,-8026405.433528413,1170.8944290314896
620,-8029411.0938136205,1173.9965271430592
630,-8027011.9875478875,1171.519783715846
640,-8027800.934780149,1172.3336848148647
650,-8025308.764940477,1169.7646155186676
660,-8018411.070151697,1162.6833993782668
670,-8018832.051550762,1163.1143505702871
680,-8018188.528854819,1162.455652317002
690,-8016584.620319446,1160.8155434650646
700,-8015051.154945969,1159.2496315407643
710,-8015286.504900631,1159.48982396618
720,-8012688.981277744,1156.8416088789502
730,-8008359.0906551145,1152.4406566089303
740,-8008919.71272574,1153.0095346423193
750,-8006835.407299459,1150.8959524821203
760,-8005829.5210234,1149.8773237618161
770,-8004255.777200967,1148.285452314588
780,-8003427.338752373,1147.4483568368828
790,-8003042.649010324,1147.0598546604954
800,-7997900.690439276,1141.8795492425302
810,-8000540.71948398,1144.5363377054214
820,-7999304.730818776,1143.2917340624265
830,-8002066.374606609,1146.0744953731478
840,-7998287.675500974,1142.268604872595
850,-7996166.136011389,1140.137341496473
860,-7993898.47579937,1137.8636842820574
870,-7996331.330742797,1140.3031505244674
880,-7991613.271759693,1135.5770236914966
890,-7990618.510279387,1134.5830642706464
900,-7991300.289212859,1135.2641996481264
910,-7990023.151596377,1133.988601825149
920,-7985170.716023244,1129.1550711268599
930,-7985217.220019162,1129.2012960272853
940,-7985006.417535828,1128.991773834839
950,-7986038.883198003,1130.0183401281768
960,-7981517.5664987145,1125.5297527381204
970,-7984195.899670585,1128.1865406197014
980,-7983830.200887513,1127.8234142722679
990,-7984447.085545222,1128.436027307208
1000,-7980470.100461384,1124.4924155323295
