Topic,seed_word,vocab_term,present_in_vocab,probability,rank_in_topic
Belt and Road Initiative (BRI),saudi arabia,saudi arabia,TRUE,0.002365359430816219,90
Belt and Road Initiative (BRI),silk road,silk road,TRUE,7.303886975538886e-4,305
Belt and Road Initiative (BRI),china,china,TRUE,8.997277783435362e-6,721
Belt and Road Initiative (BRI),infrastructure,infrastructure,TRUE,8.997277783435362e-6,724
Belt and Road Initiative (BRI),bri,bri,FALSE,NA,NA
Belt and Road Initiative (BRI),connectivity,connectivity,FALSE,NA,NA
Cultural Exchange,culture,culture,TRUE,0.014363397773818133,10
Cultural Exchange,saudi arabia,saudi arabia,TRUE,0.010510297043569976,13
Cultural Exchange,tourism,tourism,TRUE,0.006175558722040798,28
Cultural Exchange,education,education,TRUE,0.004441663393429127,43
Cultural Exchange,exchange,exchange,TRUE,0.0024187855100488436,83
Cultural Exchange,china,china,TRUE,1.0597553643744377e-5,670
Diplomatic Relations,saudi arabia,saudi arabia,TRUE,0.0014300607182878519,119
Diplomatic Relations,china,china,TRUE,0.001389330055375434,124
Diplomatic Relations,energy,energy,TRUE,0.0013078687295505988,131
Diplomatic Relations,supply,supply,TRUE,5.747167971270812e-4,269
Diplomatic Relations,production,production,TRUE,1.266795050904872e-4,548
Diplomatic Relations,oil,oil,TRUE,4.487516353234265e-6,684
Economic Cooperation,investment,investment,TRUE,0.013246299900681484,8
Economic Cooperation,oil,oil,TRUE,0.011415296111772654,10
Economic Cooperation,trade,trade,TRUE,0.00938084745742951,16
Economic Cooperation,economic,economic,TRUE,0.005922284745046164,27
Economic Cooperation,partnership,partnership,TRUE,0.0010396079746226169,238
Economic Cooperation,infrastructure,infrastructure,TRUE,2.2383647451044545e-5,452
Geopolitical Strategy,security,security,TRUE,0.03865243088858247,1
Geopolitical Strategy,middle east,middle east,TRUE,0.003043971529804006,68
Geopolitical Strategy,alliance,alliance,TRUE,0.002629919676794954,86
Geopolitical Strategy,influence,influence,TRUE,3.526344852451681e-4,457
Geopolitical Strategy,strategy,strategy,TRUE,2.836258430769928e-4,505
Geopolitical Strategy,geopolitics,geopolitics,FALSE,NA,NA
Infrastructure Development,development,development,TRUE,0.018282497886441026,6
Infrastructure Development,projects,projects,TRUE,0.008164303675549347,16
Infrastructure Development,partnership,partnership,TRUE,0.004234907865494325,37
Infrastructure Development,cities,cities,TRUE,0.0032525589129805696,55
Infrastructure Development,construction,construction,TRUE,0.002270209960466814,93
Infrastructure Development,infrastructure,infrastructure,TRUE,0.0020737401699640634,106
Technology and Innovation,technology,technology,TRUE,0.014447608991513476,5
Technology and Innovation,collaboration,collaboration,TRUE,0.0035206897346645584,71
Technology and Innovation,innovation,innovation,TRUE,8.982291130208179e-4,278
Technology and Innovation,china,china,TRUE,2.407557247290445e-5,407
Technology and Innovation,digital,digital,TRUE,2.407557247290445e-5,413
Technology and Innovation,ai,ai,FALSE,NA,NA
Trade Agreements,agreements,agreements,TRUE,0.0018222268543233839,121
Trade Agreements,imports,imports,TRUE,2.4527735049928147e-4,485
Trade Agreements,partnerships,partnerships,TRUE,8.758240011687124e-5,492
Trade Agreements,trade,trade,TRUE,8.734924925666113e-6,513
Trade Agreements,exports,exports,TRUE,8.734924925666113e-6,525
Trade Agreements,deals,deals,FALSE,NA,NA
