rank,Topic,doc_position,doc_id,title,date,address,Categories
1,1_Economic Cooperation,4,770,"Kingdom, UAE, Bahrain, Egypt Add 9 Entities, 9 Individuals to Lists of Terrorist Groups",25-Jul-17,https://saudiembassy.net/news/kingdom-uae-bahrain-egypt-add-9-entities-9-individuals-lists-terrorist-groups,News
1,2_Belt and Road Initiative (BRI),1047,1813,Shura Council Members Appointed,14-Feb-09,https://saudiembassy.net/news/shura-council-members-appointed,News
1,3_Diplomatic Relations,929,1695,King Salman Meets with French Prime Minister,12-Oct-15,https://saudiembassy.net/news/king-salman-meets-french-prime-minister,News
1,4_Technology and Innovation,107,873,King Salman Orders New Tax Rates for Oil and Hydrocarbon Producers,27-Mar-17,https://saudiembassy.net/news/king-salman-orders-new-tax-rates-oil-and-hydrocarbon-producers,News
1,5_Cultural Exchange,179,945,"KSRelief Delivers 1,200 Tons of Dates to WFP in Jordan, Bangladesh, Algeria and Senegal",13-May-17,https://saudiembassy.net/news/ksrelief-delivers-1200-tons-dates-wfp-jordan-bangladesh-algeria-and-senegal,News
1,6_Geopolitical Strategy,330,1096,Joint Statement Between the Kingdom of Saudi Arabia and the United States of America,22-May-17,https://saudiembassy.net/news/joint-statement-between-kingdom-saudi-arabia-and-united-states-america,News
1,7_Trade Agreements,283,1049,Kingdom Call for Emergency OIC Meeting on Al-Quds,19-Sep-15,https://saudiembassy.net/news/kingdom-call-emergency-oic-meeting-al-quds,News
1,8_Infrastructure Development,1072,1838,"Foreign Minister Underscored the Strength of Saudi-US Relations, Addressing Continued and Expanded Areas of Cooperation",18-Jan-17,https://saudiembassy.net/news/foreign-minister-underscored-strength-saudi-us-relations-addressing-continued-and-expanded,News
1,Other_1,377,1143,King Salman Calls Egyptian President to Express His Condolances and Support,10-Apr-17,https://saudiembassy.net/news/king-salman-calls-egyptian-president-express-his-condolances-and-support,News
1,Other_2,591,1357,Ambassador Al-Jubeir Holds Reception for Saudi Boy Scouts,28-Jul-10,https://saudiembassy.net/news/ambassador-al-jubeir-holds-reception-saudi-boy-scouts,News
1,Other_3,393,1159,Four Houth Ballistic Missiles Intercepted by Saudi Air Defense Forces,28-Mar-17,https://saudiembassy.net/news/four-houth-ballistic-missiles-intercepted-saudi-air-defense-forces,News
2,1_Economic Cooperation,55,821,"Kingdom, UAE, Bahrain, Egypt Add 9 Entities, 9 Individuals to Lists of Terrorist Groups",25-Jul-17,https://saudiembassy.net/news/kingdom-uae-bahrain-egypt-add-9-entities-9-individuals-lists-terrorist-groups,News
2,2_Belt and Road Initiative (BRI),588,1354,Secretary-General of the King Abdulaziz Foundation for Research and Archives' Service Extended,19-Nov-10,https://saudiembassy.net/news/secretary-general-king-abdulaziz-foundation-research-and-archives-service-extended,News
2,3_Diplomatic Relations,1087,1853,Deputy Crown Prince Receives U.S. Congress Delegation,24-Nov-15,https://saudiembassy.net/news/deputy-crown-prince-receives-us-congress-delegation,News
2,4_Technology and Innovation,151,917,King Salman Orders New Tax Rates for Oil and Hydrocarbon Producers,27-Mar-17,https://saudiembassy.net/news/king-salman-orders-new-tax-rates-oil-and-hydrocarbon-producers,News
2,5_Cultural Exchange,415,1181,"King Salman Relief Center Distributes 20,000 Food Baskets in Hodeidah",1-Feb-17,https://saudiembassy.net/news/king-salman-relief-center-distributes-20000-food-baskets-hodeidah,News
2,6_Geopolitical Strategy,747,1513,Joint Statement Between the Kingdom of Saudi Arabia and the United States of America,22-May-17,https://saudiembassy.net/news/joint-statement-between-kingdom-saudi-arabia-and-united-states-america,News
2,7_Trade Agreements,504,1270,Vice Custodian of the Two Holy Mosques Chairs Cabinet Session,13-Mar-17,https://saudiembassy.net/news/vice-custodian-two-holy-mosques-chairs-cabinet-session,News
2,8_Infrastructure Development,843,1609,"Foreign Minister Underscored the Strength of Saudi-US Relations, Addressing Continued and Expanded Areas of Cooperation",18-Jan-17,https://saudiembassy.net/news/foreign-minister-underscored-strength-saudi-us-relations-addressing-continued-and-expanded,News
2,Other_1,483,1249,King Salman Calls Egyptian President to Express His Condolances and Support,10-Apr-17,https://saudiembassy.net/news/king-salman-calls-egyptian-president-express-his-condolances-and-support,News
2,Other_2,957,1723,Kingdom to Open Embassy in Maldives,2-Aug-15,https://saudiembassy.net/news/kingdom-open-embassy-maldives,News
2,Other_3,494,1260,Four Houth Ballistic Missiles Intercepted by Saudi Air Defense Forces,28-Mar-17,https://saudiembassy.net/news/four-houth-ballistic-missiles-intercepted-saudi-air-defense-forces,News
3,1_Economic Cooperation,67,833,Saudi Foreign Minister: Demands on Qatar to Stop Funding Terrorism are Non-Negotiable,27-Jun-17,https://saudiembassy.net/news/saudi-foreign-minister-demands-qatar-stop-funding-terrorism-are-non-negotiable,News
3,2_Belt and Road Initiative (BRI),650,1416,King Abdullah Meets with Jenadriyah Guests,8-Mar-08,https://saudiembassy.net/news/king-abdullah-meets-jenadriyah-guests,News
