Topic,Topicprop,Topwords,xpos
Diplomatic Relations,0.2886267590741284,"bin, minister, prince",0.2986267590741284
Cultural Exchange,0.15561417356842475,"relief, humanitarian, king",0.2986267590741284
Other_1,0.1076058423769338,"salman, terrorist, king",0.2986267590741284
Belt and Road Initiative (BRI),0.09184147329917532,"king, abdullah, bin",0.2986267590741284
Geopolitical Strategy,0.08228582107956206,"security [✓], council, kingdom",0.2986267590741284
Infrastructure Development,0.06324711773631708,"said, saudi_arabia [2], minister",0.2986267590741284
Other_3,0.06196707184810329,"yemen, coalition, forces",0.2986267590741284
Trade Agreements,0.05679351389926609,"cabinet, king, session",0.2986267590741284
Other_2,0.039888874491217814,"saudi, ambassador, embassy",0.2986267590741284
Technology and Innovation,0.02839692514791289,"billion, million, syrian",0.2986267590741284
Economic Cooperation,0.02373242747895853,"terrorism, kingdom, qatar",0.2986267590741284
