Iteration,Topic,alpha
1,1_Economic Cooperation,1.3862601326787354
1,2_Belt and Road Initiative (BRI),0.1470264960802531
1,3_Diplomatic Relations,0.6103166437820894
1,4_Technology and Innovation,0.34703159676721645
1,5_Cultural Exchange,0.7770350421132822
1,6_Geopolitical Strategy,0.8494467459825921
1,7_Trade Agreements,0.4662789089183599
1,8_Infrastructure Development,0.9829606757642594
10,1_Economic Cooperation,0.5561878727846904
10,2_Belt and Road Initiative (BRI),0.5451421938664315
10,3_Diplomatic Relations,0.4183294809276123
10,4_Technology and Innovation,0.4377974048989683
10,5_Cultural Exchange,0.45354755426250337
10,6_Geopolitical Strategy,0.5590268201811812
10,7_Trade Agreements,0.3176011284894872
10,8_Infrastructure Development,0.35191737510525684
20,1_Economic Cooperation,0.443869537710728
20,2_Belt and Road Initiative (BRI),0.5223225515514697
20,3_Diplomatic Relations,0.38967946778126716
20,4_Technology and Innovation,0.5614653739921953
20,5_Cultural Exchange,0.45027582907116576
20,6_Geopolitical Strategy,0.5700389175231844
20,7_Trade Agreements,0.23110362727215147
20,8_Infrastructure Development,0.3442358442571708
30,1_Economic Cooperation,0.48961669079140024
30,2_Belt and Road Initiative (BRI),0.5561689446188063
30,3_Diplomatic Relations,0.4111400199482946
30,4_Technology and Innovation,0.5639625642187439
30,5_Cultural Exchange,0.41597100492865413
30,6_Geopolitical Strategy,0.5007169178280675
30,7_Trade Agreements,0.22286378946450544
30,8_Infrastructure Development,0.3251389687734798
40,1_Economic Cooperation,0.48772986450896394
40,2_Belt and Road Initiative (BRI),0.5932338875844276
40,3_Diplomatic Relations,0.36170968144939497
40,4_Technology and Innovation,0.5710766053232214
40,5_Cultural Exchange,0.40783997444047365
40,6_Geopolitical Strategy,0.5445019743724212
40,7_Trade Agreements,0.1987723634453259
40,8_Infrastructure Development,0.2989094872123479
50,1_Economic Cooperation,0.45412334938371157
50,2_Belt and Road Initiative (BRI),0.6228861894326323
50,3_Diplomatic Relations,0.3950886654932032
50,4_Technology and Innovation,0.5541599349417647
50,5_Cultural Exchange,0.34849641332147935
50,6_Geopolitical Strategy,0.544185096331261
50,7_Trade Agreements,0.19895438251270686
50,8_Infrastructure Development,0.2974812469209573
60,1_Economic Cooperation,0.4939613891494233
60,2_Belt and Road Initiative (BRI),0.5660898149326925
60,3_Diplomatic Relations,0.343374071290296
60,4_Technology and Innovation,0.5447932127216164
60,5_Cultural Exchange,0.34025238511741607
60,6_Geopolitical Strategy,0.543571060694172
60,7_Trade Agreements,0.17005255826636437
60,8_Infrastructure Development,0.24923962658217583
70,1_Economic Cooperation,0.5154020306487431
70,2_Belt and Road Initiative (BRI),0.5741159888235404
70,3_Diplomatic Relations,0.38272723197717134
70,4_Technology and Innovation,0.5580649057130975
70,5_Cultural Exchange,0.3402590372246297
70,6_Geopolitical Strategy,0.4983563714221222
70,7_Trade Agreements,0.16120974365949006
70,8_Infrastructure Development,0.2501699934477237
80,1_Economic Cooperation,0.44287949021715917
80,2_Belt and Road Initiative (BRI),0.5866480231230222
80,3_Diplomatic Relations,0.3229135944602601
80,4_Technology and Innovation,0.5737189781852612
80,5_Cultural Exchange,0.3064650910448417
80,6_Geopolitical Strategy,0.48263212341027634
80,7_Trade Agreements,0.1505122024546378
80,8_Infrastructure Development,0.22753896008949617
90,1_Economic Cooperation,0.4478169381437587
90,2_Belt and Road Initiative (BRI),0.5849874676159366
90,3_Diplomatic Relations,0.3139983445589233
90,4_Technology and Innovation,0.5490128347866087
90,5_Cultural Exchange,0.2713602406009996
90,6_Geopolitical Strategy,0.5000077218562158
90,7_Trade Agreements,0.13740019082884752
90,8_Infrastructure Development,0.20424363151110628
100,1_Economic Cooperation,0.4596937385987271
100,2_Belt and Road Initiative (BRI),0.5513290504636804
100,3_Diplomatic Relations,0.28703046979434604
100,4_Technology and Innovation,0.5056045897851691
100,5_Cultural Exchange,0.2930324949929286
100,6_Geopolitical Strategy,0.4824134535506937
100,7_Trade Agreements,0.1359342978285941
100,8_Infrastructure Development,0.18150645980743643
110,1_Economic Cooperation,0.4257685118431557
110,2_Belt and Road Initiative (BRI),0.5695610555964121
110,3_Diplomatic Relations,0.29822308442020534
110,4_Technology and Innovation,0.5411259595842601
110,5_Cultural Exchange,0.24694218399184875
110,6_Geopolitical Strategy,0.49747261357731004
110,7_Trade Agreements,0.12515623185524655
110,8_Infrastructure Development,0.15115359476486886
120,1_Economic Cooperation,0.40115829369157097
120,2_Belt and Road Initiative (BRI),0.5531359123769634
120,3_Diplomatic Relations,0.30556583730429754
120,4_Technology and Innovation,0.4818405621272876
120,5_Cultural Exchange,0.2519269124325415
120,6_Geopolitical Strategy,0.49114493106591856
120,7_Trade Agreements,0.11176825942986379
120,8_Infrastructure Development,0.14493073238790125
130,1_Economic Cooperation,0.39460192668952715
130,2_Belt and Road Initiative (BRI),0.5515625540900022
130,3_Diplomatic Relations,0.2776073515283486
130,4_Technology and Innovation,0.5275095940033186
130,5_Cultural Exchange,0.23201602897224377
130,6_Geopolitical Strategy,0.4711117814174051
130,7_Trade Agreements,0.12052361743253218
130,8_Infrastructure Development,0.14630903555600935
140,1_Economic Cooperation,0.3821588804798573
140,2_Belt and Road Initiative (BRI),0.48701828900362254
140,3_Diplomatic Relations,0.25321741735780057
140,4_Technology and Innovation,0.44932124449851796
140,5_Cultural Exchange,0.24867748550142757
140,6_Geopolitical Strategy,0.43860852283549684
140,7_Trade Agreements,0.11158904193998684
140,8_Infrastructure Development,0.15107694819233825
150,1_Economic Cooperation,0.382356127315422
150,2_Belt and Road Initiative (BRI),0.5277337823733443
150,3_Diplomatic Relations,0.26743566317091333
150,4_Technology and Innovation,0.48130241391808976
150,5_Cultural Exchange,0.19864249744934084
150,6_Geopolitical Strategy,0.44195276144087886
150,7_Trade Agreements,0.10364468162718445
150,8_Infrastructure Development,0.1587784206210838
160,1_Economic Cooperation,0.3831254217551396
160,2_Belt and Road Initiative (BRI),0.5156535771478234
160,3_Diplomatic Relations,0.29850648890388914
160,4_Technology and Innovation,0.466194668117372
160,5_Cultural Exchange,0.2068900399794039
160,6_Geopolitical Strategy,0.4522912392808133
160,7_Trade Agreements,0.10875393564173574
160,8_Infrastructure Development,0.12740381082110855
170,1_Economic Cooperation,0.3543839801695586
170,2_Belt and Road Initiative (BRI),0.5052984484320409
170,3_Diplomatic Relations,0.27392552920082947
170,4_Technology and Innovation,0.4771405281219934
170,5_Cultural Exchange,0.20077840395888447
170,6_Geopolitical Strategy,0.45206790571907407
170,7_Trade Agreements,0.1010508951217585
170,8_Infrastructure Development,0.14396365020825844
180,1_Economic Cooperation,0.4052359637404056
180,2_Belt and Road Initiative (BRI),0.5586057675351086
180,3_Diplomatic Relations,0.2537353438288898
180,4_Technology and Innovation,0.4513375159200005
180,5_Cultural Exchange,0.21552219004312542
180,6_Geopolitical Strategy,0.45290792963658727
180,7_Trade Agreements,0.10240741340053681
180,8_Infrastructure Development,0.13123912665280543
190,1_Economic Cooperation,0.36046141107869056
190,2_Belt and Road Initiative (BRI),0.54360456537637
190,3_Diplomatic Relations,0.24637588779379221
190,4_Technology and Innovation,0.4452856873011912
190,5_Cultural Exchange,0.17423893377861463
190,6_Geopolitical Strategy,0.4087527854337431
190,7_Trade Agreements,0.08715918948826358
190,8_Infrastructure Development,0.11570230091972827
200,1_Economic Cooperation,0.34731922871089926
200,2_Belt and Road Initiative (BRI),0.5453233557216846
200,3_Diplomatic Relations,0.256065106222449
200,4_Technology and Innovation,0.4670759910078091
200,5_Cultural Exchange,0.1717015302109191
200,6_Geopolitical Strategy,0.39352818347642377
200,7_Trade Agreements,0.10679181660860805
200,8_Infrastructure Development,0.12319014202064753
210,1_Economic Cooperation,0.34044747672573533
210,2_Belt and Road Initiative (BRI),0.5107780821086443
210,3_Diplomatic Relations,0.21709505870218918
210,4_Technology and Innovation,0.4153699857847224
210,5_Cultural Exchange,0.18716846429845332
210,6_Geopolitical Strategy,0.4063462152106069
210,7_Trade Agreements,0.0985754642934701
210,8_Infrastructure Development,0.11102007700514961
220,1_Economic Cooperation,0.37326279284278147
220,2_Belt and Road Initiative (BRI),0.5483101758726686
220,3_Diplomatic Relations,0.2383883883074526
220,4_Technology and Innovation,0.4409514921704374
220,5_Cultural Exchange,0.16899330041374272
220,6_Geopolitical Strategy,0.3978087811363204
220,7_Trade Agreements,0.0934620330384009
220,8_Infrastructure Development,0.12465968264753947
230,1_Economic Cooperation,0.32361433810900225
230,2_Belt and Road Initiative (BRI),0.5112519256396397
230,3_Diplomatic Relations,0.25247765789642534
230,4_Technology and Innovation,0.4428234836442994
230,5_Cultural Exchange,0.16041119165834253
230,6_Geopolitical Strategy,0.38420651340844675
230,7_Trade Agreements,0.09809835677957277
230,8_Infrastructure Development,0.10891386869174982
240,1_Economic Cooperation,0.3345594865445865
240,2_Belt and Road Initiative (BRI),0.5271434947700933
240,3_Diplomatic Relations,0.2604339984262595
240,4_Technology and Innovation,0.3656215988161757
240,5_Cultural Exchange,0.1821487321187002
240,6_Geopolitical Strategy,0.3874223803470328
240,7_Trade Agreements,0.10331851219259287
240,8_Infrastructure Development,0.11348411981976257
250,1_Economic Cooperation,0.328586835761
250,2_Belt and Road Initiative (BRI),0.533344518007587
250,3_Diplomatic Relations,0.2222087128167983
250,4_Technology and Innovation,0.41542308834296954
250,5_Cultural Exchange,0.1866367393252495
250,6_Geopolitical Strategy,0.40880552448656327
250,7_Trade Agreements,0.08109712193788092
250,8_Infrastructure Development,0.11648318000488088
260,1_Economic Cooperation,0.3190197444007322
260,2_Belt and Road Initiative (BRI),0.5234966233693041
260,3_Diplomatic Relations,0.21174013656967183
260,4_Technology and Innovation,0.4012234450432651
260,5_Cultural Exchange,0.14438479192506923
260,6_Geopolitical Strategy,0.4027851330345192
260,7_Trade Agreements,0.078016224720244845
260,8_Infrastructure Development,0.11360602942505939
270,1_Economic Cooperation,0.3257268029515219
270,2_Belt and Road Initiative (BRI),0.5061129374768006
270,3_Diplomatic Relations,0.22007085438521212
270,4_Technology and Innovation,0.3724788189921694
270,5_Cultural Exchange,0.1558616943475522
270,6_Geopolitical Strategy,0.3865992988706831
270,7_Trade Agreements,0.07950894463888716
