Iteration,Measures,value
1,Log Likelihood,-8586528.584860012
10,Log Likelihood,-7410916.495709835
20,Log Likelihood,-7228301.333771658
30,Log Likelihood,-7158303.215486056
40,Log Likelihood,-7115415.151333566
50,Log Likelihood,-7089588.128319981
60,Log Likelihood,-7075541.9943903
70,Log Likelihood,-7057092.263129262
80,Log Likelihood,-7045535.250888154
90,Log Likelihood,-7031669.60228435
100,Log Likelihood,-7017856.516227252
110,Log Likelihood,-7010299.004465783
120,Log Likelihood,-7004667.136127204
130,Log Likelihood,-6995778.517487965
140,Log Likelihood,-6987281.409160981
150,Log Likelihood,-6977991.153678842
160,Log Likelihood,-6973085.415961071
170,Log Likelihood,-6972105.59845572
180,Log Likelihood,-6965030.138938521
190,Log Likelihood,-6957219.558223882
200,Log Likelihood,-6950239.320860492
210,Log Likelihood,-6949194.850040434
220,Log Likelihood,-6947619.671632414
230,Log Likelihood,-6936582.865753054
240,Log Likelihood,-6934814.1763706105
250,Log Likelihood,-6932594.658745682
260,Log Likelihood,-6929814.797275214
270,Log Likelihood,-6925183.18770301
280,Log Likelihood,-6923293.005496924
290,Log Likelihood,-6918160.540206062
300,Log Likelihood,-6912451.98124805
310,Log Likelihood,-6910476.121775123
320,Log Likelihood,-6906702.317443051
330,Log Likelihood,-6905686.809581293
340,Log Likelihood,-6900699.38247849
350,Log Likelihood,-6897477.448741601
360,Log Likelihood,-6892605.86156375
370,Log Likelihood,-6895061.643258132
380,Log Likelihood,-6894153.253196274
390,Log Likelihood,-6889009.754024071
400,Log Likelihood,-6888368.8748413045
410,Log Likelihood,-6886717.858403413
420,Log Likelihood,-6885028.763947678
430,Log Likelihood,-6879454.25769555
440,Log Likelihood,-6877884.339255767
450,Log Likelihood,-6875442.368202205
460,Log Likelihood,-6872955.781897294
470,Log Likelihood,-6873949.441789501
480,Log Likelihood,-6872868.409129272
490,Log Likelihood,-6871701.954700287
500,Log Likelihood,-6870487.213072967
510,Log Likelihood,-6865811.953181527
520,Log Likelihood,-6861789.203944617
530,Log Likelihood,-6858971.846990258
540,Log Likelihood,-6861359.258721817
550,Log Likelihood,-6861526.0927981315
560,Log Likelihood,-6859710.213206483
570,Log Likelihood,-6858242.877392518
580,Log Likelihood,-6853900.971536889
590,Log Likelihood,-6855531.850719834
600,Log Likelihood,-6855334.582183113
610,Log Likelihood,-6852672.983731361
620,Log Likelihood,-6851941.230081933
630,Log Likelihood,-6848532.229680693
640,Log Likelihood,-6847170.628229559
650,Log Likelihood,-6848865.670549067
660,Log Likelihood,-6853351.107886124
670,Log Likelihood,-6853689.821837138
680,Log Likelihood,-6846956.049600998
690,Log Likelihood,-6846713.923829579
700,Log Likelihood,-6845059.780818011
710,Log Likelihood,-6841103.049159869
720,Log Likelihood,-6846040.561922377
730,Log Likelihood,-6844450.635174015
740,Log Likelihood,-6841516.589802078
750,Log Likelihood,-6842711.426441761
760,Log Likelihood,-6839669.807426262
770,Log Likelihood,-6839132.896775721
780,Log Likelihood,-6839799.963359469
790,Log Likelihood,-6839261.715665835
800,Log Likelihood,-6835984.82232292
810,Log Likelihood,-6834752.136365815
820,Log Likelihood,-6834660.449545087
830,Log Likelihood,-6831735.756248582
840,Log Likelihood,-6830444.447387097
850,Log Likelihood,-6829794.783991038
860,Log Likelihood,-6831269.813815155
870,Log Likelihood,-6827468.406553409
880,Log Likelihood,-6825405.164946248
890,Log Likelihood,-6825504.025036597
900,Log Likelihood,-6826975.941306466
910,Log Likelihood,-6822449.397624996
920,Log Likelihood,-6823939.722926374
930,Log Likelihood,-6822932.828971755
940,Log Likelihood,-6824195.7483777935
950,Log Likelihood,-6823184.406560773
960,Log Likelihood,-6822674.87122218
970,Log Likelihood,-6822859.841968275
980,Log Likelihood,-6822531.3899970865
990,Log Likelihood,-6821898.446171135
1000,Log Likelihood,-6820172.805671513
1,Perplexity,9629.644907175774
10,Perplexity,2742.837374141778
20,Perplexity,2256.7221235346065
30,Perplexity,2094.128626043548
40,Perplexity,2000.3499693013118
50,Perplexity,1945.9150026424911
60,Perplexity,1916.9348014816562
70,Perplexity,1879.5237797461946
80,Perplexity,1856.4621388964742
90,Perplexity,1829.1667822419754
100,Perplexity,1802.3739470022626
110,Perplexity,1787.8813332086581
120,Perplexity,1777.1572460749292
130,Perplexity,1760.3624477393319
140,Perplexity,1744.4558026426623
150,Perplexity,1727.228817671164
160,Perplexity,1718.200815962425
170,Perplexity,1716.4033248139558
180,Perplexity,1703.4789763420836
190,Perplexity,1689.3248044564778
200,Perplexity,1676.7749100295398
210,Perplexity,1674.905073118301
220,Perplexity,1672.08909341895
230,Perplexity,1652.4907188708391
240,Perplexity,1649.3714321658335
250,Perplexity,1645.465387350497
260,Perplexity,1640.5862601924298
270,Perplexity,1632.4891140066154
280,Perplexity,1629.196123432915
290,Perplexity,1620.2880400298486
300,Perplexity,1610.4372719178048
310,Perplexity,1607.0416719382454
320,Perplexity,1600.57610936034
330,Perplexity,1598.8407117791694
340,Perplexity,1590.3449904463866
350,Perplexity,1584.8806759286751
360,Perplexity,1576.6542271874894
370,Perplexity,1580.7958535695445
380,Perplexity,1579.2626056866977
390,Perplexity,1570.6090348191656
400,Perplexity,1569.5341287544277
410,Perplexity,1566.7683709568869
420,Perplexity,1563.9438689581814
430,Perplexity,1554.6582680849945
440,Perplexity,1552.0531775386985
450,Perplexity,1548.0096939598434
460,Perplexity,1543.9031597660305
470,Perplexity,1545.5428554257198
480,Perplexity,1543.7590641409158
490,Perplexity,1541.8366291766306
500,Perplexity,1539.837156682486
510,Perplexity,1532.1658136539522
520,Perplexity,1525.5957311390114
530,Perplexity,1521.0111160705019
540,Perplexity,1524.8951994673193
550,Perplexity,1525.166992532549
560,Perplexity,1522.211307183988
570,Perplexity,1519.8271271746228
580,Perplexity,1512.794093284538
590,Perplexity,1515.4319723995768
600,Perplexity,1515.1126543838766
610,Perplexity,1510.8109049323505
620,Perplexity,1509.6303663441731
630,Perplexity,1504.1427714082947
640,Perplexity,1501.956529735509
650,Perplexity,1504.6786422810787
