Iteration,Log Likelihood,Perplexity
1,-8586528.584860012,9629.644907175774
10,-7410916.495709835,2742.837374141778
20,-7228301.333771658,2256.7221235346065
30,-7158303.215486056,2094.128626043548
40,-7115415.151333566,2000.3499693013118
50,-7089588.128319981,1945.9150026424911
60,-7075541.9943903,1916.9348014816562
70,-7057092.263129262,1879.5237797461946
80,-7045535.250888154,1856.4621388964742
90,-7031669.60228435,1829.1667822419754
100,-7017856.516227252,1802.3739470022626
110,-7010299.004465783,1787.8813332086581
120,-7004667.136127204,1777.1572460749292
130,-6995778.517487965,1760.3624477393319
140,-6987281.409160981,1744.4558026426623
150,-6977991.153678842,1727.228817671164
160,-6973085.415961071,1718.200815962425
170,-6972105.59845572,1716.4033248139558
180,-6965030.138938521,1703.4789763420836
190,-6957219.558223882,1689.3248044564778
200,-6950239.320860492,1676.7749100295398
210,-6949194.850040434,1674.905073118301
220,-6947619.671632414,1672.08909341895
230,-6936582.865753054,1652.4907188708391
240,-6934814.1763706105,1649.3714321658335
250,-6932594.658745682,1645.465387350497
260,-6929814.797275214,1640.5862601924298
270,-6925183.18770301,1632.4891140066154
280,-6923293.005496924,1629.196123432915
290,-6918160.540206062,1620.2880400298486
300,-6912451.98124805,1610.4372719178048
310,-6910476.121775123,1607.0416719382454
320,-6906702.317443051,1600.57610936034
330,-6905686.809581293,1598.8407117791694
340,-6900699.38247849,1590.3449904463866
350,-6897477.448741601,1584.8806759286751
360,-6892605.86156375,1576.6542271874894
370,-6895061.643258132,1580.7958535695445
380,-6894153.253196274,1579.2626056866977
390,-6889009.754024071,1570.6090348191656
400,-6888368.8748413045,1569.5341287544277
410,-6886717.858403413,1566.7683709568869
420,-6885028.763947678,1563.9438689581814
430,-6879454.25769555,1554.6582680849945
440,-6877884.339255767,1552.0531775386985
450,-6875442.368202205,1548.0096939598434
460,-6872955.781897294,1543.9031597660305
470,-6873949.441789501,1545.5428554257198
480,-6872868.409129272,1543.7590641409158
490,-6871701.954700287,1541.8366291766306
500,-6870487.213072967,1539.837156682486
510,-6865811.953181527,1532.1658136539522
520,-6861789.203944617,1525.5957311390114
530,-6858971.846990258,1521.0111160705019
540,-6861359.258721817,1524.8951994673193
550,-6861526.0927981315,1525.166992532549
560,-6859710.213206483,1522.211307183988
570,-6858242.877392518,1519.8271271746228
580,-6853900.971536889,1512.794093284538
590,-6855531.850719834,1515.4319723995768
600,-6855334.582183113,1515.1126543838766
610,-6852672.983731361,1510.8109049323505
620,-6851941.230081933,1509.6303663441731
630,-6848532.229680693,1504.1427714082947
640,-6847170.628229559,1501.956529735509
650,-6848865.670549067,1504.6786422810787
660,-6853351.107886124,1511.9057471871552
670,-6853689.821837138,1512.4529033414199
680,-6846956.049600998,1501.6122836850293
690,-6846713.923829579,1501.2239388104679
700,-6845059.780818011,1498.573548744092
710,-6841103.049159869,1492.2527486031465
720,-6846040.561922377,1500.144463414159
730,-6844450.635174015,1497.598709907234
740,-6841516.589802078,1492.9121220130082
750,-6842711.426441761,1494.8188769632739
760,-6839669.807426262,1489.9697569654325
770,-6839132.896775721,1489.1154187285124
780,-6839799.963359469,1490.1769363451192
790,-6839261.715665835,1489.3203521109
800,-6835984.82232292,1484.1160149059106
810,-6834752.136365815,1482.1629831754249
820,-6834660.449545087,1482.017819979762
830,-6831735.756248582,1477.3947506404193
840,-6830444.447387097,1475.3581677703785
850,-6829794.783991038,1474.3346153658595
860,-6831269.813815155,1476.659567315802
870,-6827468.406553409,1470.6752007611992
880,-6825405.164946248,1467.4373021218491
890,-6825504.025036597,1467.592283101783
900,-6826975.941306466,1469.9017137272426
910,-6822449.397624996,1462.811157075274
920,-6823939.722926374,1465.1418765528758
930,-6822932.828971755,1463.5667887069544
940,-6824195.7483777935,1465.5426483255978
950,-6823184.406560773,1463.9601736819468
960,-6822674.87122218,1463.1635370124848
970,-6822859.841968275,1463.4526807153595
980,-6822531.3899970865,1462.9392884976426
990,-6821898.446171135,1461.950463199726
1000,-6820172.805671513,1459.257951113849
