rank,1_Economic Cooperation,2_Belt and Road Initiative (BRI),3_Diplomatic Relations,4_Technology and Innovation,5_Cultural Exchange,6_Geopolitical Strategy,7_Trade Agreements,8_Infrastructure Development,Other_1,Other_2,Other_3
1,50,262,523,275,425,135,116,525,136,309,346
2,57,546,580,322,406,286,235,288,389,257,344
3,380,430,578,323,353,3,233,555,316,520,163
4,86,466,586,272,38,277,227,556,335,174,104
5,36,396,412,268,475,188,208,419,290,172,292
6,55,501,154,326,332,109,207,103,426,415,164
7,46,522,558,269,504,123,249,200,306,521,370
8,543,458,579,324,500,300,231,394,202,565,338
9,567,433,117,367,455,284,234,453,258,392,589
10,418,502,340,25,114,280,230,342,303,310,192
