rank,1_Economic Cooperation,2_Belt and Road Initiative (BRI),3_Diplomatic Relations,4_Technology and Innovation,5_Cultural Exchange,6_Geopolitical Strategy,7_Trade Agreements,8_Infrastructure Development,Other_1,Other_2,Other_3
1,kingdom,saudi_arabia [✓],saudi_arabia [✓],prince,saudi,security [✓],coalition,million,king,international,minister
2,economic [✓],saudi,kingdom,bin,saudi_arabia [✓],terrorist,yemen,humanitarian,abdullah,countries,people
3,global,washington,saudi,saudi,education [✓],also,houthi,aid,terrorism,peace,kingdom
4,vision,embassy,financial,u.s,world,terrorism,yemeni,people,islamic,arab,foreign
5,said,government,oil [✓],minister,program,including,militias,yemen,mosques,united,iran
6,economy,world,energy [✓],ambassador,new,attacks,forces,relief,abdulaziz,terrorism,said
7,role,bin,states,united,billion,end,military,kingdom,holy,council,syria
8,development [8],following,committee,crown,king,middle_east [✓],operation,assistance,world,efforts,syrian
9,first,people,public,president,students,terrorists,operations,nations,islam,nations,saud
10,investment [✓],two,financing,states,women,terror,houthis,united,custodian,cooperation,saudi
11,relationship,issued,report,abdulaziz,abdullah,acts,aden,support,extremism,kingdom,support
12,partnership [✓],statement,terrorist,salman,kingdom,today,militia,food,salman,prince,government
13,between,today,money,washington,business,general,defense,campaign,bin,al-jubeir,against
14,also,information,one,al-jubeir,opportunities,ministry,decisive,king,said,region,regime
15,international,royal,place,royal,cultural,against,border,provide,people,conference,iranian
