Topic,Topicprop,Topwords,xpos
Technology and Innovation,0.18626284473658677,"prince, bin, saudi",0.19626284473658678
Belt and Road Initiative (BRI),0.14816615222635882,"saudi_arabia [✓], saudi, washington",0.19626284473658678
Other_2,0.11926628691345001,"international, countries, peace",0.19626284473658678
Other_3,0.09558079199676002,"minister, people, kingdom",0.19626284473658678
Geopolitical Strategy,0.09081685278229326,"security [✓], terrorist, also",0.19626284473658678
Trade Agreements,0.0677628649275187,"coalition, yemen, houthi",0.19626284473658678
Other_1,0.06333488133890491,"king, abdullah, terrorism",0.19626284473658678
Cultural Exchange,0.06219197551907821,"saudi, saudi_arabia [✓], education [✓]",0.19626284473658678
Infrastructure Development,0.05788630723534396,"million, humanitarian, aid",0.19626284473658678
Diplomatic Relations,0.057101443800505615,"saudi_arabia [✓], kingdom, saudi",0.19626284473658678
Economic Cooperation,0.05162959852319972,"kingdom, economic [✓], global",0.19626284473658678
