Iteration,Topic,alpha
1,1_Economic Cooperation,0.09525875812842506
1,2_Belt and Road Initiative (BRI),1.6751344823176624
1,3_Diplomatic Relations,0.4335343918349782
1,4_Technology and Innovation,1.130476947075333
1,5_Cultural Exchange,1.478007559504347
1,6_Geopolitical Strategy,0.6139601448970468
1,7_Trade Agreements,0.3164458479257083
1,8_Infrastructure Development,0.16374909180927505
10,1_Economic Cooperation,0.9804523965258363
10,2_Belt and Road Initiative (BRI),1.3801812910814482
10,3_Diplomatic Relations,0.9476559916364402
10,4_Technology and Innovation,0.8901505804030327
10,5_Cultural Exchange,1.8270621127158226
10,6_Geopolitical Strategy,1.440257356289073
10,7_Trade Agreements,1.2358939872586538
10,8_Infrastructure Development,1.2407237023025617
20,1_Economic Cooperation,0.7846408234880135
20,2_Belt and Road Initiative (BRI),1.071152127987112
20,3_Diplomatic Relations,0.7426216190834946
20,4_Technology and Innovation,0.694901120996482
20,5_Cultural Exchange,1.3672723085752851
20,6_Geopolitical Strategy,1.273992030184849
20,7_Trade Agreements,1.0056965208165423
20,8_Infrastructure Development,1.0004995957056786
30,1_Economic Cooperation,0.6322368112765919
30,2_Belt and Road Initiative (BRI),1.0606617661118627
30,3_Diplomatic Relations,0.4632016082634563
30,4_Technology and Innovation,0.5296062771204738
30,5_Cultural Exchange,1.2250891399716266
30,6_Geopolitical Strategy,0.9247526146376792
30,7_Trade Agreements,0.7192616012827662
30,8_Infrastructure Development,0.5740479433715189
40,1_Economic Cooperation,0.46628331831358916
40,2_Belt and Road Initiative (BRI),0.9802945206960517
40,3_Diplomatic Relations,0.42713417272827936
40,4_Technology and Innovation,0.4736542399307131
40,5_Cultural Exchange,1.0336306712010945
40,6_Geopolitical Strategy,0.9076681232651128
40,7_Trade Agreements,0.7117816296832893
40,8_Infrastructure Development,0.7735126040783089
50,1_Economic Cooperation,0.4934212144337964
50,2_Belt and Road Initiative (BRI),0.7345039519043145
50,3_Diplomatic Relations,0.32446610929213965
50,4_Technology and Innovation,0.40651060474081124
50,5_Cultural Exchange,0.8476709036043322
50,6_Geopolitical Strategy,1.0087357849472154
50,7_Trade Agreements,0.6080045864097889
50,8_Infrastructure Development,0.5524527188019572
60,1_Economic Cooperation,0.4175685933402639
60,2_Belt and Road Initiative (BRI),0.6908569917381835
60,3_Diplomatic Relations,0.2911022526217065
60,4_Technology and Innovation,0.3075760203178032
60,5_Cultural Exchange,0.8697215574357419
60,6_Geopolitical Strategy,0.8269748742673699
60,7_Trade Agreements,0.4545831738354844
60,8_Infrastructure Development,0.48476700148099816
70,1_Economic Cooperation,0.42933227862817824
70,2_Belt and Road Initiative (BRI),0.49105834137171883
70,3_Diplomatic Relations,0.19901280135452176
70,4_Technology and Innovation,0.296865808013751
70,5_Cultural Exchange,0.6750021731662075
70,6_Geopolitical Strategy,0.7159029367196648
70,7_Trade Agreements,0.5724409468915745
70,8_Infrastructure Development,0.5479633202560238
80,1_Economic Cooperation,0.40950095145289256
80,2_Belt and Road Initiative (BRI),0.586382344504316
80,3_Diplomatic Relations,0.2046655738198395
80,4_Technology and Innovation,0.3067266931087161
80,5_Cultural Exchange,0.7745092457666938
80,6_Geopolitical Strategy,0.711751056459639
80,7_Trade Agreements,0.5133652694143915
80,8_Infrastructure Development,0.45385038129249966
90,1_Economic Cooperation,0.47247365364188426
90,2_Belt and Road Initiative (BRI),0.49301255500052155
90,3_Diplomatic Relations,0.1511841771885376
90,4_Technology and Innovation,0.27787417776393797
90,5_Cultural Exchange,0.8175466900912858
90,6_Geopolitical Strategy,0.7671591257744709
90,7_Trade Agreements,0.5321454677156134
90,8_Infrastructure Development,0.4943410905505376
100,1_Economic Cooperation,0.4096657322386333
100,2_Belt and Road Initiative (BRI),0.4916957212617105
100,3_Diplomatic Relations,0.129009048992431
100,4_Technology and Innovation,0.19908245730646837
100,5_Cultural Exchange,0.7608539376648409
100,6_Geopolitical Strategy,0.5892427995390884
100,7_Trade Agreements,0.4612652376358802
100,8_Infrastructure Development,0.46242400251605426
110,1_Economic Cooperation,0.38301690167817093
110,2_Belt and Road Initiative (BRI),0.5401852136244085
110,3_Diplomatic Relations,0.14772328353843991
110,4_Technology and Innovation,0.17293396015613746
110,5_Cultural Exchange,0.6950308913930231
110,6_Geopolitical Strategy,0.6659045614885377
110,7_Trade Agreements,0.43660808670346335
110,8_Infrastructure Development,0.4742012962925018
120,1_Economic Cooperation,0.32757473878109483
120,2_Belt and Road Initiative (BRI),0.5519323687093737
120,3_Diplomatic Relations,0.09109703968320852
120,4_Technology and Innovation,0.11859446081025025
120,5_Cultural Exchange,0.6750300981504179
120,6_Geopolitical Strategy,0.726401885531222
120,7_Trade Agreements,0.4441890520653574
120,8_Infrastructure Development,0.49548343674558853
130,1_Economic Cooperation,0.4124239753429973
130,2_Belt and Road Initiative (BRI),0.4950363297910571
130,3_Diplomatic Relations,0.09998421808505029
130,4_Technology and Innovation,0.13971547915153323
130,5_Cultural Exchange,0.6499108055245474
