Iteration,Measures,value
1,Log Likelihood,-4346004.688496859
10,Log Likelihood,-3763185.9955705283
20,Log Likelihood,-3668633.4930659477
30,Log Likelihood,-3634046.6357606114
40,Log Likelihood,-3614481.5279639303
50,Log Likelihood,-3600409.8138340344
60,Log Likelihood,-3580991.818710238
70,Log Likelihood,-3570846.1242189817
80,Log Likelihood,-3562068.0674100346
90,Log Likelihood,-3553909.37705723
100,Log Likelihood,-3548291.3707627864
110,Log Likelihood,-3543151.8461573576
120,Log Likelihood,-3537439.5150329475
130,Log Likelihood,-3530397.6317853723
140,Log Likelihood,-3523706.29371548
150,Log Likelihood,-3515220.821409809
160,Log Likelihood,-3509327.8456753297
170,Log Likelihood,-3501199.9151481465
180,Log Likelihood,-3493524.241262757
190,Log Likelihood,-3487277.5245326716
200,Log Likelihood,-3483015.1819437426
210,Log Likelihood,-3479828.9134849976
220,Log Likelihood,-3476167.122881159
230,Log Likelihood,-3470533.682564594
240,Log Likelihood,-3466668.162688295
250,Log Likelihood,-3463118.0705643576
260,Log Likelihood,-3462602.2418130827
270,Log Likelihood,-3460365.9743346726
280,Log Likelihood,-3458938.2063854514
290,Log Likelihood,-3457622.144326471
300,Log Likelihood,-3455830.945947223
310,Log Likelihood,-3454246.5643768664
320,Log Likelihood,-3452645.423935804
330,Log Likelihood,-3449314.9189678235
340,Log Likelihood,-3447849.1997404774
350,Log Likelihood,-3446052.623949988
360,Log Likelihood,-3444117.8884686357
370,Log Likelihood,-3442816.4876700677
380,Log Likelihood,-3443047.373585973
390,Log Likelihood,-3441349.378236178
400,Log Likelihood,-3439473.5072726435
410,Log Likelihood,-3438875.645239575
420,Log Likelihood,-3440189.0019932548
430,Log Likelihood,-3438383.408515458
440,Log Likelihood,-3437368.6359713953
450,Log Likelihood,-3437318.3465843075
460,Log Likelihood,-3436951.1483313264
470,Log Likelihood,-3436207.112913939
480,Log Likelihood,-3435077.4054573113
490,Log Likelihood,-3433785.055153736
500,Log Likelihood,-3432369.409220155
510,Log Likelihood,-3432085.910436815
520,Log Likelihood,-3432000.7959269886
530,Log Likelihood,-3431063.1430127
540,Log Likelihood,-3430021.2291004686
550,Log Likelihood,-3429665.021417347
560,Log Likelihood,-3430550.2741723577
570,Log Likelihood,-3428595.9152034232
580,Log Likelihood,-3427870.561422155
590,Log Likelihood,-3426624.785321503
600,Log Likelihood,-3426470.5428879797
610,Log Likelihood,-3426411.9256212898
620,Log Likelihood,-3426572.9520077943
630,Log Likelihood,-3426171.7104605893
640,Log Likelihood,-3423501.566830841
650,Log Likelihood,-3422239.5881883637
660,Log Likelihood,-3422520.5351258777
670,Log Likelihood,-3420935.457637463
680,Log Likelihood,-3422664.7546934215
690,Log Likelihood,-3421987.230874533
700,Log Likelihood,-3421825.9485982955
710,Log Likelihood,-3421443.456645784
720,Log Likelihood,-3421963.1797399013
730,Log Likelihood,-3419855.2473119865
740,Log Likelihood,-3420189.0905055427
750,Log Likelihood,-3420150.3321146322
760,Log Likelihood,-3420571.7825590777
770,Log Likelihood,-3419411.132539577
780,Log Likelihood,-3419652.0130117154
790,Log Likelihood,-3419757.2945017507
