Topic,seed_word,vocab_term,present_in_vocab,probability,rank_in_topic
Belt and Road Initiative (BRI),saudi arabia,saudi arabia,TRUE,0.03720685404404382,1
Belt and Road Initiative (BRI),connectivity,connectivity,TRUE,6.381722171262995e-4,299
Belt and Road Initiative (BRI),infrastructure,infrastructure,TRUE,2.248326944534593e-5,378
Belt and Road Initiative (BRI),bri,bri,FALSE,NA,NA
Belt and Road Initiative (BRI),china,china,FALSE,NA,NA
Belt and Road Initiative (BRI),silk road,silk road,FALSE,NA,NA
Cultural Exchange,saudi arabia,saudi arabia,TRUE,0.025479515846529233,3
Cultural Exchange,culture,culture,TRUE,0.002787359146404427,90
Cultural Exchange,exchange,exchange,TRUE,0.001274548699729439,174
Cultural Exchange,education,education,TRUE,1.3873327500282882e-5,443
Cultural Exchange,tourism,tourism,FALSE,NA,NA
Cultural Exchange,china,china,FALSE,NA,NA
Diplomatic Relations,energy,energy,TRUE,0.11597709591295385,1
Diplomatic Relations,supply,supply,TRUE,0.016620144728411928,10
Diplomatic Relations,saudi arabia,saudi arabia,TRUE,6.065286432160667e-5,202
Diplomatic Relations,oil,oil,TRUE,6.065286432160667e-5,211
Diplomatic Relations,production,production,TRUE,6.065286432160667e-5,222
Diplomatic Relations,china,china,FALSE,NA,NA
Economic Cooperation,oil,oil,TRUE,0.06421981913529534,1
Economic Cooperation,economic,economic,TRUE,0.022423636988236,3
Economic Cooperation,investment,investment,TRUE,0.012273135609664448,8
Economic Cooperation,trade,trade,TRUE,0.007496429078571951,32
Economic Cooperation,partnership,partnership,TRUE,3.282512373992489e-5,313
Economic Cooperation,infrastructure,infrastructure,TRUE,3.282512373992489e-5,315
Geopolitical Strategy,security,security,TRUE,0.04406257653596404,2
Geopolitical Strategy,middle east,middle east,TRUE,0.0049384267977151935,45
Geopolitical Strategy,strategy,strategy,TRUE,0.002276920012800306,111
Geopolitical Strategy,influence,influence,TRUE,9.461666203428621e-4,218
Geopolitical Strategy,alliance,alliance,TRUE,5.469406026056289e-4,300
Geopolitical Strategy,geopolitics,geopolitics,FALSE,NA,NA
Infrastructure Development,development,development,TRUE,0.015388849019053881,3
Infrastructure Development,projects,projects,TRUE,0.004435006017881981,64
Infrastructure Development,construction,construction,TRUE,0.001913994197589462,165
Infrastructure Development,partnership,partnership,TRUE,2.323533237007299e-5,366
Infrastructure Development,infrastructure,infrastructure,TRUE,2.323533237007299e-5,369
Infrastructure Development,cities,cities,TRUE,2.323533237007299e-5,375
Technology and Innovation,technology,technology,TRUE,0.025464417042278205,1
Technology and Innovation,collaboration,collaboration,TRUE,0.004431539572388309,77
Technology and Innovation,digital,digital,TRUE,0.0022557246617100437,178
Technology and Innovation,innovation,innovation,TRUE,0.0022557246617100437,179
Technology and Innovation,ai,ai,FALSE,NA,NA
Technology and Innovation,china,china,FALSE,NA,NA
Trade Agreements,agreements,agreements,TRUE,0.002460621274038398,108
Trade Agreements,partnerships,partnerships,TRUE,0.0020112669024211884,128
Trade Agreements,imports,imports,TRUE,0.0012415742178985107,209
Trade Agreements,exports,exports,TRUE,6.320506898285671e-4,346
Trade Agreements,trade,trade,TRUE,2.2527161758623202e-5,356
Trade Agreements,deals,deals,FALSE,NA,NA
