rank,1_Economic Cooperation,2_Belt and Road Initiative (BRI),3_Diplomatic Relations,4_Technology and Innovation,5_Cultural Exchange,6_Geopolitical Strategy,7_Trade Agreements,8_Infrastructure Development,Other_1,Other_2,Other_3
1,45,30,3,12,54,77,73,96,71,31,7
2,95,33,72,13,21,86,88,56,94,19,16
3,37,63,48,1,22,98,33,81,28,29,4
4,51,75,50,84,43,64,51,2,61,59,87
5,65,34,82,56,36,99,2,1,15,11,92
6,84,49,39,31,47,89,65,76,60,41,39
7,56,73,92,95,68,78,84,91,80,9,82
8,76,55,87,76,85,79,40,18,75,32,50
9,15,60,4,19,52,62,30,95,91,6,48
10,5,88,16,83,20,70,66,37,17,18,72
