rank,1_Economic Cooperation,2_Belt and Road Initiative (BRI),3_Diplomatic Relations,4_Technology and Innovation,5_Cultural Exchange,6_Geopolitical Strategy,7_Trade Agreements,8_Infrastructure Development,Other_1,Other_2,Other_3
1,oil [✓],saudi_arabia [✓],energy [✓],technology [✓],council,international,countries,kingdom,upon,two,الدولي
2,global,iran,على,ﻢﻗر,kingdom,security [✓],world,also,islamic,united,الرئيس
3,economic [✓],country,الله,ﻰﻠﻋ,saudi_arabia [✓],states,one,development [✓],allah,states,مجلس
4,saudi,region,إلى,ةﺪﺤﺘﻤﻟا,support,united,can,well,peace,also,الشعب
5,market,syria,الذي,اذﺎﻣ,gcc,efforts,government,important,world,political,الدولية
6,resources,many,هذا,ﻞﻌﻓا,yemen,president,continue,between,bin,between,الأمن
7,industry,take,هذه,ةدﻮﻌﻟا,terrorism,peace,yemen,program,good,importance,الأمير
8,investment [✓],people,التي,ﻞﺻاﻮﺘﻟا,people,against,believe,training,also,leaders,لما
9,price,just,المملكة,ﻢﺘﯾ,countries,nations,challenges,like,among,joint,بما
10,gas,secretary,supply [✓],ﻲﻟﺎﺘﻟا,king,syrian,today,saudi_arabia [2],religion,cooperation,بين
11,growth,time,كما,ﻰﻟإ,humanitarian,foreign,make,financial,god,saudi,لها
12,demand,years,ذلك,ﺮﺒﻋ,stability,nuclear,new,developing,may,expressed,رقم
13,future,issues,عليه,تﺎﯾﻻﻮﻟا,cooperation,community,issue,climate,said,minister,غير
14,production [3],three,المتحدة,ﺐﺠﯾ,order,general,relationship,economy,islam,bin,كذلك
15,opec,iranian,العربية,ﺐﺴﺣ,conference,dialogue,made,million,abdullah,sides,إلكترونية
