Topic,Topicprop,Topwords,xpos
Cultural Exchange,0.17995166244564312,"council, kingdom, saudi_arabia [✓]",0.18995166244564313
Geopolitical Strategy,0.15075286563289894,"international, security [✓], states",0.18995166244564313
Other_2,0.13650908922588667,"two, united, states",0.18995166244564313
Other_1,0.09899993120697616,"upon, islamic, allah",0.18995166244564313
Belt and Road Initiative (BRI),0.08901984559349044,"saudi_arabia [✓], iran, country",0.18995166244564313
Trade Agreements,0.0832366446759996,"countries, world, one",0.18995166244564313
Infrastructure Development,0.08183734438724566,"kingdom, also, development [✓]",0.18995166244564313
Diplomatic Relations,0.06525724465585653,"energy [✓], على, الله",0.18995166244564313
Economic Cooperation,0.047932739561205605,"oil [✓], global, economic [✓]",0.18995166244564313
Other_3,0.04538897990094919,"الدولي, الرئيس, مجلس",0.18995166244564313
Technology and Innovation,0.021113652713848078,"technology [✓], ﻢﻗر, ﻰﻠﻋ",0.18995166244564313
