Iteration,Measures,value
1,Log Likelihood,-29460458.358687464
10,Log Likelihood,-25232035.266013164
20,Log Likelihood,-24552425.016728844
30,Log Likelihood,-24327167.939977366
40,Log Likelihood,-24191378.612101845
50,Log Likelihood,-24084456.219312906
60,Log Likelihood,-24025410.604595736
70,Log Likelihood,-23963011.84525347
80,Log Likelihood,-23915951.530428234
90,Log Likelihood,-23873299.77569117
100,Log Likelihood,-23833143.10405477
110,Log Likelihood,-23788505.446867272
120,Log Likelihood,-23757155.33510291
130,Log Likelihood,-23721373.774527594
140,Log Likelihood,-23701148.314747892
150,Log Likelihood,-23674327.095985927
160,Log Likelihood,-23657869.20786943
170,Log Likelihood,-23628775.715111624
180,Log Likelihood,-23606470.46905984
190,Log Likelihood,-23587526.947696954
200,Log Likelihood,-23571973.98720652
210,Log Likelihood,-23554002.222858727
220,Log Likelihood,-23538755.505065165
230,Log Likelihood,-23520229.700051893
240,Log Likelihood,-23500573.56156909
250,Log Likelihood,-23481919.689523716
260,Log Likelihood,-23465038.619976435
270,Log Likelihood,-23452598.30363603
280,Log Likelihood,-23448045.484695036
290,Log Likelihood,-23437925.20262851
300,Log Likelihood,-23421724.717031937
310,Log Likelihood,-23418489.336047616
320,Log Likelihood,-23398002.58558324
330,Log Likelihood,-23389684.691211168
340,Log Likelihood,-23388232.910898816
350,Log Likelihood,-23370211.470857635
360,Log Likelihood,-23359202.282497957
370,Log Likelihood,-23348461.000490952
380,Log Likelihood,-23351553.48501609
390,Log Likelihood,-23342522.309194986
400,Log Likelihood,-23332980.957946427
410,Log Likelihood,-23317439.70995264
420,Log Likelihood,-23323693.537978627
430,Log Likelihood,-23304977.15705443
440,Log Likelihood,-23303578.600061085
450,Log Likelihood,-23303818.759551845
460,Log Likelihood,-23295108.045505736
470,Log Likelihood,-23289186.464731243
480,Log Likelihood,-23292982.521821786
490,Log Likelihood,-23287611.500348527
500,Log Likelihood,-23280794.959659636
510,Log Likelihood,-23275790.25834605
520,Log Likelihood,-23273977.052587964
530,Log Likelihood,-23269965.491664406
540,Log Likelihood,-23267268.308844693
550,Log Likelihood,-23269746.831010643
560,Log Likelihood,-23257039.929440085
570,Log Likelihood,-23255041.441101685
580,Log Likelihood,-23245694.11102025
590,Log Likelihood,-23247443.00515449
600,Log Likelihood,-23251976.399229106
610,Log Likelihood,-23250843.057427157
620,Log Likelihood,-23240002.60543407
630,Log Likelihood,-23227357.341947056
640,Log Likelihood,-23225865.440567046
650,Log Likelihood,-23223679.527550165
660,Log Likelihood,-23227326.970202036
670,Log Likelihood,-23216083.617066555
680,Log Likelihood,-23219259.452223442
690,Log Likelihood,-23218372.341796327
700,Log Likelihood,-23222073.513866175
710,Log Likelihood,-23215176.632522255
720,Log Likelihood,-23215851.84961034
730,Log Likelihood,-23204154.610156395
740,Log Likelihood,-23203909.44569779
750,Log Likelihood,-23198661.600204304
760,Log Likelihood,-23199605.053786445
770,Log Likelihood,-23193675.671665657
780,Log Likelihood,-23187484.792066734
790,Log Likelihood,-23192787.401969343
800,Log Likelihood,-23193914.633868393
810,Log Likelihood,-23176061.790177476
820,Log Likelihood,-23188337.47255949
830,Log Likelihood,-23183390.26191222
840,Log Likelihood,-23182839.657159314
850,Log Likelihood,-23178379.73997765
860,Log Likelihood,-23174381.53080723
870,Log Likelihood,-23172217.124728724
880,Log Likelihood,-23171974.321409535
890,Log Likelihood,-23163637.644984137
900,Log Likelihood,-23165797.091272954
910,Log Likelihood,-23167949.48259957
920,Log Likelihood,-23168275.458907254
930,Log Likelihood,-23164186.366555728
940,Log Likelihood,-23157964.291527115
950,Log Likelihood,-23155628.185541738
960,Log Likelihood,-23160826.417748895
970,Log Likelihood,-23154555.65842824
980,Log Likelihood,-23150191.502504956
990,Log Likelihood,-23147765.02266438
1000,Log Likelihood,-23150243.459285885
1,Perplexity,17146.04525363056
10,Perplexity,4230.967184201841
20,Perplexity,3378.8087180212956
30,Perplexity,3136.0923401924997
40,Perplexity,2998.2835832497935
50,Perplexity,2894.0460185438615
60,Perplexity,2838.04438101345
70,Perplexity,2780.0397555708614
80,Perplexity,2737.0789669312585
90,Perplexity,2698.716487877479
100,Perplexity,2663.089730410745
110,Perplexity,2624.0391710452723
120,Perplexity,2596.9558236681037
130,Perplexity,2566.38557929342
140,Perplexity,2549.265272502181
150,Perplexity,2526.73785523201
160,Perplexity,2513.013372135635
170,Perplexity,2488.933981651171
180,Perplexity,2470.629292963313
190,Perplexity,2455.189141555056
200,Perplexity,2442.5846683346276
210,Perplexity,2428.100506800206
220,Perplexity,2415.879930515138
230,Perplexity,2401.113834843257
240,Perplexity,2385.5454680806183
250,Perplexity,2370.864295581573
260,Perplexity,2357.6562677019056
270,Perplexity,2347.969874469368
280,Perplexity,2344.434872760549
290,Perplexity,2336.596108714328
300,Perplexity,2324.1023859036895
310,Perplexity,2321.6152926665477
320,Perplexity,2305.9284402316976
330,Perplexity,2299.5896630498964
340,Perplexity,2298.4850992954666
350,Perplexity,2284.817865137644
360,Perplexity,2276.508652956136
370,Perplexity,2268.430768702422
380,Perplexity,2270.7535010916395
390,Perplexity,2263.9769406577507
400,Perplexity,2256.8395368916113
410,Perplexity,2245.262055557008
420,Perplexity,2249.91369796572
430,Perplexity,2236.020977496082
440,Perplexity,2234.986313337997
450,Perplexity,2235.1639512833935
460,Perplexity,2228.729949377298
470,Perplexity,2224.366665173498
480,Perplexity,2227.1627850999325
490,Perplexity,2223.2076001488654
500,Perplexity,2218.1980566275397
510,Perplexity,2214.5272395152188
520,Perplexity,2213.198800311994
530,Perplexity,2210.2625746282283
540,Perplexity,2208.290586456272
550,Perplexity,2210.1026399429575
560,Perplexity,2200.8282970395253
570,Perplexity,2199.3732131453803
580,Perplexity,2192.580256722519
590,Perplexity,2193.849627704554
600,Perplexity,2197.143448816583
610,Perplexity,2196.319535087911
620,Perplexity,2188.4543672565705
630,Perplexity,2179.3153216468454
640,Perplexity,2178.2396075931138
650,Perplexity,2176.664445275248
660,Perplexity,2179.293417240076
670,Perplexity,2171.1997060707217
680,Perplexity,2173.4828317874844
690,Perplexity,2172.8448415822268
700,Perplexity,2175.507882580885
710,Perplexity,2170.548110170612
720,Perplexity,2171.033181074849
730,Perplexity,2162.64527828146
740,Perplexity,2162.469821949673
750,Perplexity,2158.7175190286143
760,Perplexity,2159.3916247526477
770,Perplexity,2155.158523207217
780,Perplexity,2150.7475885190106
790,Perplexity,2154.52508523163
800,Perplexity,2155.3289623991873
810,Perplexity,2142.6325060957624
820,Perplexity,2151.354577643397
830,Perplexity,2147.8352411611086
840,Perplexity,2147.4439092948724
850,Perplexity,2144.2767345487964
860,Perplexity,2141.4414090829314
870,Perplexity,2139.9080874129813
880,Perplexity,2139.7361477178683
890,Perplexity,2133.8409540238563
900,Perplexity,2135.366423438574
910,Perplexity,2136.8879943177153
920,Perplexity,2137.1185283686573
930,Perplexity,2134.2284769257235
940,Perplexity,2129.8383915901554
950,Perplexity,2128.1924470852678
960,Perplexity,2131.8566881899505
970,Perplexity,2127.437205374946
980,Perplexity,2124.3668595718927
990,Perplexity,2122.6616580692034
1000,Perplexity,2124.4033870213293
