Iteration,Log Likelihood,Perplexity
1,-29460458.358687464,17146.04525363056
10,-25232035.266013164,4230.967184201841
20,-24552425.016728844,3378.8087180212956
30,-24327167.939977366,3136.0923401924997
40,-24191378.612101845,2998.2835832497935
50,-24084456.219312906,2894.0460185438615
60,-24025410.604595736,2838.04438101345
70,-23963011.84525347,2780.0397555708614
80,-23915951.530428234,2737.0789669312585
90,-23873299.77569117,2698.716487877479
100,-23833143.10405477,2663.089730410745
110,-23788505.446867272,2624.0391710452723
120,-23757155.33510291,2596.9558236681037
130,-23721373.774527594,2566.38557929342
140,-23701148.314747892,2549.265272502181
150,-23674327.095985927,2526.73785523201
160,-23657869.20786943,2513.013372135635
170,-23628775.715111624,2488.933981651171
180,-23606470.46905984,2470.629292963313
190,-23587526.947696954,2455.189141555056
200,-23571973.98720652,2442.5846683346276
210,-23554002.222858727,2428.100506800206
220,-23538755.505065165,2415.879930515138
230,-23520229.700051893,2401.113834843257
240,-23500573.56156909,2385.5454680806183
250,-23481919.689523716,2370.864295581573
260,-23465038.619976435,2357.6562677019056
270,-23452598.30363603,2347.969874469368
280,-23448045.484695036,2344.434872760549
290,-23437925.20262851,2336.596108714328
300,-23421724.717031937,2324.1023859036895
310,-23418489.336047616,2321.6152926665477
320,-23398002.58558324,2305.9284402316976
330,-23389684.691211168,2299.5896630498964
340,-23388232.910898816,2298.4850992954666
350,-23370211.470857635,2284.817865137644
360,-23359202.282497957,2276.508652956136
370,-23348461.000490952,2268.430768702422
380,-23351553.48501609,2270.7535010916395
390,-23342522.309194986,2263.9769406577507
400,-23332980.957946427,2256.8395368916113
410,-23317439.70995264,2245.262055557008
420,-23323693.537978627,2249.91369796572
430,-23304977.15705443,2236.020977496082
440,-23303578.600061085,2234.986313337997
450,-23303818.759551845,2235.1639512833935
460,-23295108.045505736,2228.729949377298
470,-23289186.464731243,2224.366665173498
480,-23292982.521821786,2227.1627850999325
490,-23287611.500348527,2223.2076001488654
500,-23280794.959659636,2218.1980566275397
510,-23275790.25834605,2214.5272395152188
520,-23273977.052587964,2213.198800311994
530,-23269965.491664406,2210.2625746282283
540,-23267268.308844693,2208.290586456272
550,-23269746.831010643,2210.1026399429575
560,-23257039.929440085,2200.8282970395253
570,-23255041.441101685,2199.3732131453803
580,-23245694.11102025,2192.580256722519
590,-23247443.00515449,2193.849627704554
600,-23251976.399229106,2197.143448816583
610,-23250843.057427157,2196.319535087911
620,-23240002.60543407,2188.4543672565705
630,-23227357.341947056,2179.3153216468454
640,-23225865.440567046,2178.2396075931138
650,-23223679.527550165,2176.664445275248
660,-23227326.970202036,2179.293417240076
670,-23216083.617066555,2171.1997060707217
680,-23219259.452223442,2173.4828317874844
690,-23218372.341796327,2172.8448415822268
700,-23222073.513866175,2175.507882580885
710,-23215176.632522255,2170.548110170612
720,-23215851.84961034,2171.033181074849
730,-23204154.610156395,2162.64527828146
740,-23203909.44569779,2162.469821949673
750,-23198661.600204304,2158.7175190286143
760,-23199605.053786445,2159.3916247526477
770,-23193675.671665657,2155.158523207217
780,-23187484.792066734,2150.7475885190106
790,-23192787.401969343,2154.52508523163
800,-23193914.633868393,2155.3289623991873
810,-23176061.790177476,2142.6325060957624
820,-23188337.47255949,2151.354577643397
830,-23183390.26191222,2147.8352411611086
840,-23182839.657159314,2147.4439092948724
850,-23178379.73997765,2144.2767345487964
860,-23174381.53080723,2141.4414090829314
870,-23172217.124728724,2139.9080874129813
880,-23171974.321409535,2139.7361477178683
890,-23163637.644984137,2133.8409540238563
900,-23165797.091272954,2135.366423438574
910,-23167949.48259957,2136.8879943177153
920,-23168275.458907254,2137.1185283686573
930,-23164186.366555728,2134.2284769257235
940,-23157964.291527115,2129.8383915901554
950,-23155628.185541738,2128.1924470852678
960,-23160826.417748895,2131.8566881899505
970,-23154555.65842824,2127.437205374946
980,-23150191.502504956,2124.3668595718927
990,-23147765.02266438,2122.6616580692034
1000,-23150243.459285885,2124.4033870213293
