rank,1_Economic Cooperation,2_Belt and Road Initiative (BRI),3_Diplomatic Relations,4_Technology and Innovation,5_Cultural Exchange,6_Geopolitical Strategy,7_Trade Agreements,8_Infrastructure Development,Other_1,Other_2,Other_3
1,831,99,665,1767,703,684,1186,799,1286,764,724
2,2,954,666,331,692,1609,1617,643,1614,913,422
3,463,773,340,1160,701,174,1533,1029,1256,1193,714
4,1067,1079,911,1578,740,1182,968,1434,1684,1439,397
5,416,820,1534,1840,657,172,790,1039,1131,1151,376
6,491,132,18,1682,660,1143,1140,1177,1174,1191,517
7,418,559,858,1740,669,1538,1243,1406,1239,1287,1787
8,380,161,690,1862,735,392,971,983,1277,1168,713
9,126,587,412,1863,725,859,1173,1041,1279,1431,104
10,428,155,625,1511,420,1759,1598,342,1525,800,728
