Topic,Topicprop,Topwords,xpos
Technology and Innovation,0.24828734239905842,"bin, minister, prince",0.25828734239905843
Other_2,0.12679852437283193,"yemen, coalition, humanitarian",0.25828734239905843
Geopolitical Strategy,0.11197101453947042,"security [✓], international, council",0.25828734239905843
Infrastructure Development,0.09397959942334858,"king, abdullah, international",0.25828734239905843
Other_1,0.09336110953095131,"terrorist, ministry, attack",0.25828734239905843
Economic Cooperation,0.08831061364865551,"kingdom, saudi, economic [✓]",0.25828734239905843
Belt and Road Initiative (BRI),0.08585606154845465,"saudi_arabia [✓], terrorism, saudi",0.25828734239905843
Trade Agreements,0.05774509066630273,"cabinet, king, council",0.25828734239905843
Other_3,0.04661555453827975,"people, order, peace",0.25828734239905843
Cultural Exchange,0.03200944752551924,"culture [✓], education [✓], saudi_arabia [✓]",0.25828734239905843
Diplomatic Relations,0.015065641807127463,"saudi_arabia [✓], energy [✓], oil [✓]",0.25828734239905843
